name,count,total_ms,avg_ms,min_ms,p50_ms,p95_ms,p99_ms,max_ms,last_ms
scene_cache.rebuild.collect_scene,1,0.002474,0.002474,0.002474,0.002474,0.002474,0.002474,0.002474,0.002474
scene_cache.rebuild.collect_selection,1,0.002694,0.002694,0.002694,0.002694,0.002694,0.002694,0.002694,0.002694
scene_cache.rebuild.collect_sketch,1,0.002874,0.002874,0.002874,0.002874,0.002874,0.002874,0.002874,0.002874
scene_cache.rebuild.total,1,0.065837,0.065837,0.065837,0.065837,0.065837,0.065837,0.065837,0.065837
scene_cache.snap.near_query.total,2,0.051356,0.025678,0.013550,0.013550,0.037806,0.037806,0.037806,0.013550
scene_cache.snap.rebuild_screen_index,1,0.004768,0.004768,0.004768,0.004768,0.004768,0.004768,0.004768,0.004768
snap.manager.providers,2,0.000531,0.000266,0.000261,0.000261,0.000270,0.000270,0.000270,0.000270
snap.manager.targets_to_results,2,0.086920,0.043460,0.036735,0.036735,0.050185,0.050185,0.050185,0.036735
snap.targets_to_results.classify,2,0.001572,0.000786,0.000771,0.000771,0.000801,0.000801,0.000801,0.000771
snap.targets_to_results.curve_intersections,2,0.001883,0.000941,0.000842,0.000842,0.001041,0.001041,0.001041,0.000842
snap.targets_to_results.direct_snaps,2,0.018838,0.009419,0.004016,0.004016,0.014822,0.014822,0.014822,0.004016
snap.targets_to_results.segment_intersections,2,0.001772,0.000886,0.000691,0.000691,0.001081,0.001081,0.001081,0.000691
snap.targets_to_results.total,2,0.075101,0.037551,0.031166,0.031166,0.043935,0.043935,0.043935,0.031166
